"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"[[Rivalry]] between brothers leads to main story line. Navy Commander Chuck Prescott(Marshall Thompson)has developed the Y12 aircraft to test how far man can go up in the atmosphere. His brother, Lt. Dan Prescott(Bill Edwards), seems to be the best test pilot around and is chosen to go up in the Y12. Dan of course has a problem with taking orders and is also an over confident dare devil. <br /><br />On Dan's second flight, he hits over the 300 miles up comfort zone and his craft passes through a meteor dust storm. Returning to earth, Dan becomes a monster that resembles 200 pounds of bad asphalt. He also has a","[[Rivary]] between brothers leads to main story line. Navy Commander Chuck Prescott(Marshall Thompson)has developed the Y12 aircraft to test how far man can go up in the atmosphere. His brother, Lt. Dan Prescott(Bill Edwards), seems to be the best test pilot around and is chosen to go up in the Y12. Dan of course has a problem with taking orders and is also an over confident dare devil. <br /><br />On Dan's second flight, he hits over the 300 miles up comfort zone and his craft passes through a meteor dust storm. Returning to earth, Dan becomes a monster that resembles 200 pounds of bad asphalt. He also has a",0.00878918170928955,0.6502208709716797,0.0,1.0,0.0,1669.0,"Successful"
"A brash, self-centered Army cadet arrives at WEST POINT with a dangerous wise guy attitude towards the Corps.<br /><br />In a role obviously tailor-made for him, William Haines [[shines]] in this highly enjoyable tale of honor & friendship. A grade-A scene stealer, Haines during the first half of the film is up to his usual Silly Billy behavior, which under normal circumstances should have gotten him confined to the guardhouse. The last half, however, becomes very serious, leading up to Haines' moral redemption and giving him a fine opportunity to exhibit his acting talents. If WEST POINT does not quite reach the caliber of Haines' previous TELL IT TO THE","A brash, self-centered Army cadet arrives at WEST POINT with a dangerous wise guy attitude towards the Corps.<br /><br />In a role obviously tailor-made for him, William Haines [[shies]] in this highly enjoyable tale of honor & friendship. A grade-A scene stealer, Haines during the first half of the film is up to his usual Silly Billy behavior, which under normal circumstances should have gotten him confined to the guardhouse. The last half, however, becomes very serious, leading up to Haines' moral redemption and giving him a fine opportunity to exhibit his acting talents. If WEST POINT does not quite reach the caliber of Haines' previous TELL IT TO THE",0.00043076276779174805,0.0009639263153076172,1.0,1.0,1.0,2085.0,"Failed"
"Having sat and watched this film I can only wonder at the reasons for creating the film. This was without a doubt one of the worst films I've ever seen and had no redeeming features.<br /><br />If it was supposed to be funny then it might have managed to be a very weak comedy but as an action thriller it was dire.<br /><br />Slow, no plot, no real action, nothing approaching good dialogue and I've no idea about the characters. What else can I say. [[Avoid]].","Having sat and watched this film I can only wonder at the reasons for creating the film. This was without a doubt one of the worst films I've ever seen and had no redeeming features.<br /><br />If it was supposed to be funny then it might have managed to be a very weak comedy but as an action thriller it was dire.<br /><br />Slow, no plot, no real action, nothing approaching good dialogue and I've no idea about the characters. What else can I say. [[Avojd]].",0.0006976127624511719,0.0008212924003601074,0.0,0.0,0.0,1104.0,"Failed"
"I was so [[offended]] by this film that I had to write SOMETHING about it, so please humour me.<br /><br />Its only redeeming virtue, outside of some good acting, is that it doesn't go on past 107 minutes. Even that length is about 30 minutes too long.<br /><br />Comparisons have been made here to the brilliantly dark 'The Grifters,' but I can't see it. They are two different films altogether. The closest 'Swindled' comes to an existing film is 'The Sting,' made in 1973. It borrows (sorry, STEALS) liberally from this splendid George Roy Hill 'entertainment,' which is exactly what is was. I enjoyed it because it didn't pretend to","I was so [[offebded]] by this film that I had to write SOMETHING about it, so please humour me.<br /><br />Its only redeeming virtue, outside of some good acting, is that it doesn't go on past 107 minutes. Even that length is about 30 minutes too long.<br /><br />Comparisons have been made here to the brilliantly dark 'The Grifters,' but I can't see it. They are two different films altogether. The closest 'Swindled' comes to an existing film is 'The Sting,' made in 1973. It borrows (sorry, STEALS) liberally from this splendid George Roy Hill 'entertainment,' which is exactly what is was. I enjoyed it because it didn't pretend to",0.019871771335601807,0.9909852743148804,0.0,1.0,0.0,1548.0,"Successful"
"Beautiful art direction, excellent editing and wonderful stories [[make]] this some of the best television ever produced. The fact that it was relatively short lived is sadly reflective on the state of television. I highly recommend snatching these up as they're released, you'll love them.","Beautiful art direction, excellent editing and wonderful stories [[mxke]] this some of the best television ever produced. The fact that it was relatively short lived is sadly reflective on the state of television. I highly recommend snatching these up as they're released, you'll love them.",0.001519620418548584,0.0025412440299987793,1.0,1.0,1.0,971.0,"Failed"
"I guess I wasn't sure to what to expect from this film, it had a good cast, an interesting story line, and a bunch of other things going for it, but I still couldn't shake a feeling of dread that I had in my stomach about what it would be like. I am glad to say that I was very pleased with the result and regret worrying about it all along. The films opening scenes were extremely intriguing and were enough to sustain early interest in the film. As the film progressed we were [[introduced]] to the characters of the film, as well as what happened in the prison riots.","I guess I wasn't sure to what to expect from this film, it had a good cast, an interesting story line, and a bunch of other things going for it, but I still couldn't shake a feeling of dread that I had in my stomach about what it would be like. I am glad to say that I was very pleased with the result and regret worrying about it all along. The films opening scenes were extremely intriguing and were enough to sustain early interest in the film. As the film progressed we were [[introfuced]] to the characters of the film, as well as what happened in the prison riots.",0.0015021562576293945,0.9970108270645142,1.0,0.0,1.0,1331.0,"Successful"
"The [[main]] problem with 9th Company (9 Rota) is that it is not sure whether it wants to be Saving Private Ryan or Full Metal Jacket. The attempts at Spielberg sentimentalism are embarrassing, such as the burley sergeant crying in a field of red flowers!!! The training sequences have none of intensity or realism that Kubrick gave them in his masterpiece.<br /><br />A further bone of contention is that the Afghan fighters are called Ghosts because they strike and are hardly ever seen. Here they attack a Russian strong hold almost in formation with no attempt to use cover. I am sure tactics have move on since Waterloo.<br /><br />Every","The [[maoin]] problem with 9th Company (9 Rota) is that it is not sure whether it wants to be Saving Private Ryan or Full Metal Jacket. The attempts at Spielberg sentimentalism are embarrassing, such as the burley sergeant crying in a field of red flowers!!! The training sequences have none of intensity or realism that Kubrick gave them in his masterpiece.<br /><br />A further bone of contention is that the Afghan fighters are called Ghosts because they strike and are hardly ever seen. Here they attack a Russian strong hold almost in formation with no attempt to use cover. I am sure tactics have move on since Waterloo.<br /><br />Every",0.17314106225967407,0.8115743398666382,0.0,1.0,0.0,1800.0,"Successful"
"This movie has too many things going on. Another reviewer comments on the disjointed, episodic nature of the film as reflecting the director's memories - that's fine, if that is how it was written and performed. Instead, what we get is straight-forward narrative - some of the time - that jumps around, under and over, leaves us dangling in some instances, interrupts the flow with unnecessary digressions in other instances, and otherwise simply doesn't [[work]]. <br /><br />There are also some plot details that just don't work. For example, why drag a body onto a beach in an urban area in broad daylight, as opposed to night time? Why leave","This movie has too many things going on. Another reviewer comments on the disjointed, episodic nature of the film as reflecting the director's memories - that's fine, if that is how it was written and performed. Instead, what we get is straight-forward narrative - some of the time - that jumps around, under and over, leaves us dangling in some instances, interrupts the flow with unnecessary digressions in other instances, and otherwise simply doesn't [[woek]]. <br /><br />There are also some plot details that just don't work. For example, why drag a body onto a beach in an urban area in broad daylight, as opposed to night time? Why leave",0.001148223876953125,0.00344008207321167,0.0,0.0,0.0,1848.0,"Failed"
"I saw this movie when it first came to the theaters in 1988 and though I knew it wasn't of award winning caliber...I kinda liked it. It tales the tale of 5 former cub scouts reuniting to take on the one task they never got to finish as kids - which is to climb Mt. Whitehead. Of course now the cub scouts are all grown up and have developed their personalities in a variety of ways, but none too differently than they were as children. Richard Lewis is still neurotic, Richard Belzer is still a playboy, Franklyn Ajaye is still sort of the Dear Abby of the group, and Tim","I saw this movie when it first came to the theaters in 1988 and though I knew it wasn't of award winning caliber...I kinda liked it. It tales the tale of 5 former cub scouts reuniting to take on the one task they never got to finish as kids - which is to climb Mt. Whitehead. Of course now the cub scouts are all grown up and have developed their personalities in a variety of ways, but none too differently than they were as children. Richard Lewis is still neurotic, Richard Belzer is still a playboy, Franklyn Ajaye is still sort of the Dear Abby of the group, and Tim",0.9992818236351013,0.9992818236351013,1.0,1.0,0.0,1.0,"Skipped"
"Not well done at all, the whole movie was just the Grudge going around and killing random people out of nowhere. Random people that have nothing to do with the story get killed, like the 3 school girls for example.<br /><br />The family at the beginning has nothing to do with the story either, I believe them to be a random family that never went in the house, and never had anything to do with the killings of the Grudge.<br /><br />Did not [[impress]] me at all, I was not scared, I didn't jump at any parts, and the whole movie was just a random piece of crap to get","Not well done at all, the whole movie was just the Grudge going around and killing random people out of nowhere. Random people that have nothing to do with the story get killed, like the 3 school girls for example.<br /><br />The family at the beginning has nothing to do with the story either, I believe them to be a random family that never went in the house, and never had anything to do with the killings of the Grudge.<br /><br />Did not [[inpress]] me at all, I was not scared, I didn't jump at any parts, and the whole movie was just a random piece of crap to get",0.0007059574127197266,0.0009579062461853027,0.0,0.0,0.0,1223.0,"Failed"
